               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12894,            0.021264,            0.047595,          0.00012599,            0.017698,          7.6628e-05,          2.3815e-05,              0.1113,              0.0201,            0.041986,              0.0811,              0.0021,              0.0021
                   1,            0.098278,            0.018221,            0.039368,           0.0024866,             0.36414,             0.01333,           0.0028517,             0.09203,            0.021407,            0.037693,            0.061215,           0.0042149,           0.0042149
                   2,            0.074638,            0.018537,            0.037765,             0.18336,             0.18138,             0.12028,            0.037928,              0.0712,            0.020867,            0.035937,            0.041243,           0.0062426,           0.0062426
                   3,            0.067508,            0.017263,            0.035765,            0.049823,             0.22549,            0.051401,            0.013391,            0.068437,            0.017952,            0.032135,            0.021183,           0.0081832,           0.0081832
                   4,            0.063172,            0.013948,            0.031388,             0.12527,             0.30718,              0.1567,            0.040024,            0.061902,            0.017783,            0.027901,            0.009208,            0.009208,            0.009208
                   5,            0.061279,            0.013145,            0.026338,             0.41743,             0.42249,             0.26593,             0.12398,            0.060927,            0.015602,            0.022884,            0.009208,            0.009208,            0.009208
                   6,            0.055118,            0.011931,            0.023871,             0.29196,             0.58395,             0.37625,             0.15861,              0.0552,            0.014959,            0.019196,             0.00901,             0.00901,             0.00901
                   7,            0.051576,            0.010911,            0.020649,             0.44396,             0.71745,             0.54343,             0.28731,            0.048758,            0.013629,            0.016484,            0.008812,            0.008812,            0.008812
                   8,            0.051106,            0.010376,            0.018319,             0.60617,             0.71911,             0.63687,             0.23755,            0.048889,            0.012488,             0.01478,            0.008614,            0.008614,            0.008614
                   9,            0.049028,           0.0094891,            0.016324,              0.6697,             0.76509,             0.77057,             0.43307,            0.047018,              0.0116,            0.013193,            0.008416,            0.008416,            0.008416
                  10,            0.045832,           0.0089304,            0.014749,             0.65603,             0.73759,              0.6972,             0.36364,            0.040686,            0.010854,            0.012102,            0.008218,            0.008218,            0.008218
                  11,            0.045875,           0.0088034,            0.013198,             0.80386,             0.78944,             0.79368,             0.41113,             0.04324,            0.010508,             0.01069,             0.00802,             0.00802,             0.00802
                  12,            0.043979,           0.0081396,            0.011782,             0.77878,              0.8281,             0.81684,             0.49005,            0.036548,           0.0099395,           0.0089991,            0.007822,            0.007822,            0.007822
                  13,            0.042167,           0.0082657,            0.010929,             0.92854,             0.82911,             0.89751,             0.52783,            0.033409,           0.0096582,           0.0077657,            0.007624,            0.007624,            0.007624
                  14,            0.042308,            0.007242,           0.0091051,             0.84453,             0.87501,             0.87074,             0.55277,            0.037462,           0.0090768,           0.0066493,            0.007426,            0.007426,            0.007426
                  15,            0.039103,           0.0070963,           0.0077013,             0.91046,             0.87501,             0.92858,             0.60937,              0.0355,           0.0089207,           0.0058899,            0.007228,            0.007228,            0.007228
                  16,             0.03842,           0.0067716,           0.0065637,             0.94508,              0.8872,             0.93603,             0.54953,            0.036406,           0.0085875,           0.0055481,             0.00703,             0.00703,             0.00703
                  17,            0.039937,           0.0065394,           0.0068506,             0.88458,             0.89332,             0.91924,             0.65359,            0.030705,           0.0085986,            0.005762,            0.006832,            0.006832,            0.006832
                  18,            0.036594,           0.0064544,            0.006066,             0.95739,             0.87144,             0.93532,             0.58689,            0.030839,           0.0081813,           0.0046074,            0.006634,            0.006634,            0.006634
                  19,             0.03564,           0.0065076,           0.0056961,             0.94882,             0.89948,             0.94175,             0.65843,             0.02927,           0.0077683,           0.0047056,            0.006436,            0.006436,            0.006436
                  20,            0.034466,           0.0063299,           0.0053087,             0.96605,             0.89449,             0.93929,             0.62772,            0.030406,           0.0076507,           0.0045227,            0.006238,            0.006238,            0.006238
                  21,            0.034536,           0.0065244,            0.005743,             0.95208,             0.86396,              0.9367,             0.62808,            0.029344,           0.0076752,           0.0043276,             0.00604,             0.00604,             0.00604
                  22,            0.032967,            0.005882,           0.0048242,             0.91054,             0.90422,              0.9422,             0.67691,            0.029963,           0.0073477,           0.0047038,            0.005842,            0.005842,            0.005842
                  23,            0.032873,           0.0059355,           0.0054108,             0.95014,             0.88685,             0.94985,             0.69213,            0.025038,           0.0073617,           0.0047567,            0.005644,            0.005644,            0.005644
                  24,             0.03265,           0.0056359,           0.0044819,             0.96388,             0.88618,             0.94324,             0.68348,              0.0276,           0.0071681,           0.0040927,            0.005446,            0.005446,            0.005446
                  25,            0.031726,           0.0056601,           0.0041605,             0.97168,              0.8912,             0.94222,             0.66484,            0.025398,           0.0072737,           0.0038902,            0.005248,            0.005248,            0.005248
                  26,             0.03126,           0.0056488,           0.0043194,             0.94867,             0.91227,             0.95262,             0.68607,            0.025466,           0.0071917,           0.0038559,             0.00505,             0.00505,             0.00505
                  27,            0.029819,           0.0055404,            0.004205,              0.9508,             0.90763,             0.95371,             0.68304,             0.02374,           0.0069469,           0.0039241,            0.004852,            0.004852,            0.004852
                  28,            0.029404,           0.0054697,           0.0043346,             0.95207,             0.89539,             0.95336,             0.70843,            0.024143,           0.0069609,           0.0037553,            0.004654,            0.004654,            0.004654
                  29,            0.028503,            0.005562,           0.0040759,             0.95494,             0.88186,             0.94396,             0.70435,            0.022212,           0.0068216,           0.0035222,            0.004456,            0.004456,            0.004456
                  30,            0.028118,           0.0052163,            0.003521,               0.952,             0.89071,             0.95046,             0.65959,             0.02145,           0.0067517,            0.003533,            0.004258,            0.004258,            0.004258
                  31,            0.027463,           0.0051592,           0.0036393,             0.94756,             0.90099,             0.95537,             0.70845,            0.021529,           0.0066455,           0.0032154,             0.00406,             0.00406,             0.00406
                  32,            0.027172,           0.0052391,           0.0034456,             0.95484,             0.91009,             0.95468,             0.70174,            0.022575,            0.006512,            0.003068,            0.003862,            0.003862,            0.003862
                  33,             0.02553,           0.0050788,           0.0035379,             0.94553,             0.92265,             0.95082,             0.71694,            0.020015,           0.0064141,           0.0029588,            0.003664,            0.003664,            0.003664
                  34,            0.025449,           0.0053349,           0.0030483,             0.97314,             0.90503,              0.9546,             0.68785,            0.020643,           0.0064398,           0.0028453,            0.003466,            0.003466,            0.003466
                  35,            0.024714,           0.0049474,           0.0028059,             0.93592,             0.89947,             0.95694,             0.71761,            0.021787,           0.0064421,           0.0028266,            0.003268,            0.003268,            0.003268
                  36,            0.025365,           0.0049562,           0.0031714,             0.95764,             0.89206,             0.95598,              0.7109,            0.020025,           0.0065769,           0.0029808,             0.00307,             0.00307,             0.00307
                  37,            0.023374,           0.0049366,           0.0028415,             0.91898,              0.9308,             0.95691,             0.73369,            0.021247,           0.0062625,           0.0026323,            0.002872,            0.002872,            0.002872
                  38,            0.023503,           0.0049347,           0.0029828,             0.96876,             0.87795,             0.94985,             0.74067,            0.020837,           0.0062237,           0.0025087,            0.002674,            0.002674,            0.002674
                  39,            0.022448,           0.0048071,           0.0029745,             0.93699,              0.9053,             0.95775,             0.74066,            0.019219,           0.0061536,           0.0027192,            0.002476,            0.002476,            0.002476
                  40,            0.022462,           0.0046087,           0.0027637,             0.94394,             0.91147,             0.95326,             0.73719,            0.018924,           0.0060393,           0.0024446,            0.002278,            0.002278,            0.002278
                  41,            0.022612,           0.0046689,             0.00282,             0.95093,             0.90522,             0.95274,             0.71717,            0.021507,           0.0062013,           0.0023784,             0.00208,             0.00208,             0.00208
