               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078544,            0.022547,            0.068795,             0.27928,             0.33112,            0.096875,            0.040379,            0.046005,           0.0076099,             0.05683,             0.07027,           0.0033033,           0.0033033
                   1,            0.046663,            0.015201,            0.059897,             0.26195,             0.40725,             0.17642,            0.095094,             0.03861,           0.0050512,            0.052179,            0.040051,           0.0064176,           0.0064176
                   2,            0.042891,            0.012212,            0.056109,             0.25486,             0.38437,             0.22544,             0.13817,            0.031677,           0.0046674,             0.04895,           0.0096123,            0.009312,            0.009312
                   3,            0.039143,            0.010337,            0.050964,             0.31184,             0.40581,             0.32129,              0.1981,             0.02937,           0.0040061,            0.044347,             0.00901,             0.00901,             0.00901
                   4,             0.03551,           0.0092026,            0.046597,             0.34856,              0.4303,             0.35013,             0.22614,            0.026839,           0.0042452,            0.041328,             0.00901,             0.00901,             0.00901
                   5,            0.033338,           0.0083612,            0.044466,             0.40029,             0.46649,             0.36265,             0.24182,            0.025701,           0.0037268,            0.039933,             0.00868,             0.00868,             0.00868
                   6,            0.031719,           0.0079554,            0.042515,             0.40478,             0.48731,             0.40887,             0.28677,            0.022061,           0.0035068,             0.03727,             0.00835,             0.00835,             0.00835
                   7,            0.030545,           0.0079249,            0.040907,             0.45819,             0.58192,             0.45381,             0.30972,            0.022861,           0.0033856,            0.034994,             0.00802,             0.00802,             0.00802
                   8,             0.02896,           0.0076713,            0.039651,             0.46363,              0.5937,             0.49972,             0.35994,             0.02168,           0.0034116,            0.034363,             0.00769,             0.00769,             0.00769
                   9,            0.027928,           0.0075027,            0.038026,             0.47558,             0.68537,             0.56109,             0.41114,            0.020847,           0.0030437,            0.031869,             0.00736,             0.00736,             0.00736
                  10,             0.02755,           0.0074395,            0.036412,              0.5036,             0.69556,             0.60686,             0.46205,            0.020658,           0.0031059,            0.031232,             0.00703,             0.00703,             0.00703
                  11,            0.026832,           0.0072541,            0.034808,              0.5311,             0.67439,             0.65588,             0.49265,            0.020887,           0.0032135,            0.028493,              0.0067,              0.0067,              0.0067
                  12,            0.026441,           0.0071393,            0.032573,             0.74742,               0.707,              0.7607,             0.55057,            0.020407,           0.0030092,            0.024229,             0.00637,             0.00637,             0.00637
                  13,            0.026082,           0.0070746,            0.029757,             0.65779,             0.78628,             0.77893,             0.59256,            0.020008,           0.0028921,            0.020579,             0.00604,             0.00604,             0.00604
                  14,            0.025416,           0.0069514,            0.027408,             0.70759,             0.76721,             0.81896,              0.6435,            0.019588,           0.0028322,            0.017771,             0.00571,             0.00571,             0.00571
                  15,            0.025237,           0.0069301,            0.026924,             0.71558,             0.78864,             0.82132,             0.64643,             0.01877,            0.002867,            0.017609,             0.00538,             0.00538,             0.00538
                  16,            0.025086,           0.0068848,             0.02567,             0.76069,             0.79278,             0.84302,             0.65468,            0.019186,           0.0029901,             0.01701,             0.00505,             0.00505,             0.00505
                  17,             0.02408,           0.0066733,            0.023846,             0.76835,             0.81421,             0.86617,             0.69232,            0.018428,           0.0027051,            0.015431,             0.00472,             0.00472,             0.00472
                  18,            0.023927,           0.0067038,            0.022649,             0.83404,             0.84679,             0.90221,             0.71807,            0.018196,           0.0026825,            0.012136,             0.00439,             0.00439,             0.00439
                  19,            0.023094,           0.0065149,            0.022287,             0.84116,             0.84055,             0.89825,             0.70989,            0.017735,           0.0027331,            0.013254,             0.00406,             0.00406,             0.00406
                  20,            0.022714,           0.0064773,            0.021043,             0.90579,             0.84757,              0.9283,             0.73869,            0.016936,           0.0026459,            0.011375,             0.00373,             0.00373,             0.00373
                  21,            0.022303,           0.0064651,            0.020062,             0.92255,             0.85528,             0.93074,              0.7566,            0.017569,           0.0026365,            0.010747,              0.0034,              0.0034,              0.0034
                  22,            0.021807,            0.006326,            0.018407,             0.91171,             0.86967,             0.93488,             0.75008,            0.016541,           0.0026059,           0.0098557,             0.00307,             0.00307,             0.00307
                  23,            0.021539,           0.0063221,            0.018378,             0.94899,             0.85359,             0.94025,             0.77462,            0.016275,           0.0025721,           0.0090387,             0.00274,             0.00274,             0.00274
                  24,            0.021065,           0.0060217,            0.017965,             0.93155,             0.88956,             0.94671,             0.77786,            0.016511,           0.0025617,           0.0078114,             0.00241,             0.00241,             0.00241
                  25,            0.020379,            0.006099,            0.017185,             0.94056,             0.87969,             0.94724,             0.77553,            0.016286,           0.0025131,           0.0073251,             0.00208,             0.00208,             0.00208
                  26,            0.019785,           0.0061691,            0.016251,              0.9226,             0.90409,             0.94962,             0.78236,            0.015725,           0.0024887,           0.0076806,             0.00175,             0.00175,             0.00175
                  27,             0.01914,           0.0059398,            0.015825,             0.93336,             0.88664,             0.94795,             0.78841,            0.015497,           0.0025061,           0.0068918,             0.00142,             0.00142,             0.00142
                  28,            0.018681,           0.0057623,            0.015107,             0.93962,             0.90748,             0.95615,             0.80347,            0.015487,           0.0024909,           0.0059499,             0.00109,             0.00109,             0.00109
                  29,            0.017922,           0.0056685,            0.014544,             0.94933,             0.91397,             0.96073,               0.806,            0.015017,           0.0024275,           0.0058862,             0.00076,             0.00076,             0.00076
