               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12917,            0.015681,            0.045799,             0.54194,             0.14349,            0.033378,           0.0075597,             0.10481,            0.013095,            0.031768,            0.070207,           0.0033103,           0.0033103
                   1,            0.099373,            0.014162,            0.039164,             0.54912,              0.1656,            0.050978,            0.010513,            0.096793,            0.012774,            0.029654,            0.039988,           0.0064244,           0.0064244
                   2,            0.095682,            0.013871,            0.034452,             0.67607,              0.3347,              0.2467,            0.078946,            0.084547,            0.015013,            0.018268,           0.0095484,           0.0093185,           0.0093185
                   3,            0.087099,            0.013841,            0.025367,             0.72573,             0.30841,             0.23898,            0.060017,            0.082348,            0.013319,            0.013015,             0.00901,             0.00901,             0.00901
                   4,            0.080432,            0.012944,            0.023261,             0.79156,             0.24593,             0.23307,            0.062388,            0.080326,            0.012932,            0.013145,             0.00901,             0.00901,             0.00901
                   5,            0.076104,            0.013159,            0.021953,             0.82103,               0.302,             0.30482,            0.084056,            0.071437,             0.01301,            0.011287,             0.00868,             0.00868,             0.00868
                   6,            0.074005,            0.013035,            0.020748,             0.82511,             0.26111,             0.26834,            0.072041,            0.073221,            0.012683,           0.0090213,             0.00835,             0.00835,             0.00835
                   7,             0.07067,            0.012592,            0.018929,             0.87405,             0.25509,             0.29534,            0.088525,            0.069867,            0.013181,           0.0097874,             0.00802,             0.00802,             0.00802
                   8,            0.068401,            0.013011,            0.017519,              0.8933,             0.33502,             0.36405,             0.10962,            0.063009,            0.013011,           0.0081836,             0.00769,             0.00769,             0.00769
                   9,            0.066504,            0.012687,            0.016977,             0.85558,             0.30913,             0.32353,              0.1007,            0.064321,            0.013407,           0.0093016,             0.00736,             0.00736,             0.00736
                  10,            0.064674,            0.012614,            0.016049,             0.58553,             0.31491,             0.32273,            0.090684,            0.066402,            0.013033,           0.0091091,             0.00703,             0.00703,             0.00703
                  11,            0.063089,            0.012412,             0.01511,             0.87089,             0.32253,             0.33929,            0.098544,            0.066662,            0.012979,           0.0090028,              0.0067,              0.0067,              0.0067
                  12,            0.062268,            0.012143,            0.015473,             0.62719,             0.28143,             0.29754,            0.081472,            0.069942,            0.013383,           0.0085117,             0.00637,             0.00637,             0.00637
                  13,            0.060515,            0.012406,            0.014949,             0.65142,             0.33656,             0.37217,             0.12279,            0.061209,            0.014162,            0.010144,             0.00604,             0.00604,             0.00604
                  14,            0.059074,            0.011941,            0.014833,             0.67727,             0.38173,             0.41717,             0.13286,            0.059135,            0.012671,           0.0062987,             0.00571,             0.00571,             0.00571
                  15,            0.057868,            0.012032,            0.014169,             0.66469,             0.34522,             0.37947,             0.11042,            0.061534,            0.012983,            0.007296,             0.00538,             0.00538,             0.00538
                  16,            0.056413,            0.011962,            0.013424,             0.61268,             0.32022,               0.338,             0.10028,             0.06398,            0.012842,           0.0066327,             0.00505,             0.00505,             0.00505
                  17,            0.055025,            0.012071,            0.013728,             0.65217,             0.33047,             0.35126,             0.10463,            0.064363,            0.012955,           0.0082052,             0.00472,             0.00472,             0.00472
                  18,            0.054882,            0.011804,             0.01317,             0.65765,             0.31888,              0.3482,             0.10311,            0.065133,            0.013312,           0.0087198,             0.00439,             0.00439,             0.00439
                  19,            0.053594,            0.011809,            0.012743,              0.3677,             0.34358,             0.36218,             0.11235,            0.060604,            0.013504,            0.012849,             0.00406,             0.00406,             0.00406
                  20,            0.052639,            0.011666,            0.012421,             0.67412,             0.35837,             0.41518,             0.14565,            0.057726,             0.01275,           0.0087024,             0.00373,             0.00373,             0.00373
                  21,            0.051395,            0.011387,            0.011544,             0.66408,             0.34562,             0.40179,             0.13326,            0.060692,            0.013244,           0.0077011,              0.0034,              0.0034,              0.0034
                  22,            0.051184,             0.01164,            0.011736,             0.40909,             0.37251,             0.39575,             0.13937,            0.058454,            0.013081,           0.0084133,             0.00307,             0.00307,             0.00307
                  23,            0.050582,            0.011506,            0.011318,             0.45422,             0.34242,             0.36516,             0.11974,            0.060676,            0.014267,            0.009082,             0.00274,             0.00274,             0.00274
                  24,            0.049453,            0.011511,            0.010743,             0.43405,             0.37353,             0.40314,             0.13945,            0.057606,            0.013846,           0.0059753,             0.00241,             0.00241,             0.00241
                  25,            0.048856,            0.011398,            0.010754,             0.53499,             0.40628,             0.42184,             0.15256,             0.05699,            0.012628,            0.012969,             0.00208,             0.00208,             0.00208
                  26,            0.047609,            0.011149,           0.0098603,             0.62927,             0.40255,             0.45492,             0.17194,             0.05408,            0.014855,           0.0069709,             0.00175,             0.00175,             0.00175
                  27,            0.046944,            0.010978,           0.0095468,             0.52367,             0.45839,             0.45463,             0.16681,            0.055786,            0.013337,           0.0069727,             0.00142,             0.00142,             0.00142
                  28,            0.046777,            0.010842,           0.0094068,             0.64199,             0.41653,             0.44603,             0.17011,            0.055006,            0.013646,           0.0066882,             0.00109,             0.00109,             0.00109
                  29,            0.045596,            0.010911,            0.009292,             0.65152,             0.43506,             0.47336,             0.17467,            0.055889,            0.013618,           0.0066225,             0.00076,             0.00076,             0.00076
